st,rptdate,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c15,c16,c17,c18,c19,c21,c22,c23,c24,c25,c27,c29,c30,c31,c32,c33,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99
AK,7/31/2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,8/31/2008,2184,32,314,18,1,6,2,1,2,0,0,6571,332,1351,0,0,47,4,30,0,0,7,3,6,7857,7617,92,80,12,1477482,1435074,22343,18231,4112,1708,17,3,2,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,9/30/2008,944,4,178,12,1,7,5,0,0,0,0,6689,321,1556,0,0,44,10,44,0,0,17,5,10,9516,9217,133,110,23,1823754,1776726,28909,22725,6184,983,11,6,588,6,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,10/31/2008,1378,6,123,16,0,7,10,0,0,0,0,4632,219,1056,0,0,32,9,35,0,0,26,2,3,5148,4964,91,66,25,1016051,983172,19107,12738,6369,906,15,4,453,4,1,48,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,11/30/2008,1412,13,158,16,0,9,9,1,0,0,0,11892,144,1957,0,0,123,6,77,0,0,105,7,5,10334,9942,231,144,87,2036880,197601,53577,30110,23467,1466,18,12,466,3,0,109,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,12/31/2008,1413,119,228,18,9,4,8,13,2,0,0,18457,199,3640,0,0,169,9,99,0,0,105,13,7,20440,19783,369,261,108,13521448,13042295,355394,275218,80176,1706,30,10,296,2,1,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,1/31/2009,1934,10,361,22,0,6,9,0,2,0,0,17783,285,3375,0,0,159,6,86,0,0,106,11,13,18107,17565,330,231,99,3487582,3402405,76313,49440,26873,0,0,0,150,3,1,130,2,0,0,0,0,45,44,0,0,0,7873,7655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,2/28/2009,1359,14,298,17,0,6,5,0,0,0,0,12033,337,2677,0,0,88,6,74,0,0,55,9,5,14826,14441,224,169,55,2805960,2747667,50347,35411,14936,0,0,0,389,3,1,113,1,0,0,0,0,4869,4796,62,52,10,916778,905714,15138,12154,2984,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,3/31/2009,1523,11,274,16,2,6,3,1,1,0,0,14680,485,3216,0,0,112,15,111,0,0,80,17,8,14140,13724,261,187,74,2680155,2617566,57954,38008,19946,2,0,0,704,8,3,137,1,1,0,0,0,5573,5469,69,57,12,1064315,1048501,16395,12843,3552,0,0,0,242,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,4/30/2009,1464,18,232,14,0,8,10,0,0,0,0,8332,469,1745,0,0,65,6,62,0,0,48,16,8,17187,16723,291,204,87,3204339,3131253,66377,43007,23370,1,0,0,895,8,4,125,2,1,0,0,0,6422,6285,105,79,26,1239218,1217794,25832,18808,7024,0,0,0,509,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
