st,rptdate,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52
AK,10/31/1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,11/30/1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,12/31/1991,4878,4717,161,0,0,631,84,81,3,0,0,40,49,14,0,35,0,3,17174,155,0,1452,291,0,0,82,17,0,0,0,0,15516,0,1176,0,312,14,0,2603500,0,212046,0,56308,2640,0,0,0,0,0,0,0,0
AK,1/31/1992,2102,1752,318,32,0,393,40,37,3,0,0,14,3,3,0,0,0,1,18322,724,0,3850,307,6,0,227,42,16,0,13,10832,20798,19828,3652,1093,503,52,3424876,3329127,3283834,653774,99067,88698,10369,1949,1558,391,57,6,480,11,0
AK,2/29/1992,1689,1385,279,25,0,459,28,27,1,0,0,29,9,8,1,0,0,1,15180,790,0,3430,263,6,0,216,40,6,0,15,9501,17528,16499,3572,946,444,68,2904373,2814720,2758106,628917,96422,80444,18978,1381,1073,308,36,10,267,6,0
AK,3/31/1992,2689,2240,428,21,0,683,51,46,5,0,0,45,17,13,4,0,0,4,21976,1034,4,5072,414,19,0,331,98,18,0,18,14474,25708,24166,4759,1376,708,116,4237165,4085978,4004496,826433,157950,131742,26208,2035,1607,428,67,9,348,5,0
AK,4/30/1992,2372,1783,527,62,0,343,34,29,5,0,0,22,14,10,4,0,0,4,19846,1048,0,5213,376,26,0,338,114,14,0,25,13328,22586,21052,4141,1297,613,127,3724941,3622763,3535340,720843,141002,113735,27267,1570,1326,244,44,12,285,6,0
AK,5/31/1992,1994,1411,527,56,0,412,33,29,4,0,0,19,17,16,1,0,0,3,17482,980,0,4533,293,12,0,304,147,11,0,37,11679,20721,19076,4190,1293,576,184,3454370,3348807,3247666,752724,143691,104782,38909,1435,1200,235,36,20,417,13,0
AK,6/30/1992,1953,1145,762,46,0,311,17,14,3,0,0,17,13,10,3,0,0,2,18791,1063,0,4729,299,16,0,281,185,10,0,53,12458,22028,20205,4197,1243,528,215,3633101,3545202,3417012,745548,138777,91845,46932,1264,1067,197,30,9,355,5,0
AK,7/31/1992,1806,1077,662,67,0,316,12,10,2,0,0,18,17,13,4,0,0,3,14662,1066,0,4392,215,20,0,268,194,13,0,50,9850,17506,16070,3852,1068,433,224,2883945,2798066,2703898,680776,123232,77510,45722,887,680,207,15,13,310,9,2
AK,8/31/1992,2182,1206,904,72,0,408,23,14,9,0,0,18,22,18,4,0,0,6,16429,969,0,4385,232,17,0,257,226,23,0,61,10775,19554,17611,4034,1186,434,283,3261567,3174426,3029384,724258,140370,82026,58344,1185,966,219,16,20,329,12,2
AK,9/30/1992,2581,1188,1320,73,0,340,51,29,22,0,0,14,17,10,7,0,0,8,16745,1074,0,4463,266,20,0,253,221,39,0,70,11070,19905,17754,4124,1189,475,284,3317349,3229577,3064974,735506,148135,90800,57335,1072,886,186,35,16,380,8,3
AK,10/31/1992,3238,1396,1749,93,0,611,56,18,38,0,0,31,28,21,7,0,0,11,18409,1239,0,5155,344,32,0,258,206,41,0,56,12815,22029,19673,4577,1397,600,244,3848016,3607817,3424236,823358,171582,121141,50441,1323,1039,284,33,12,459,15,4
AK,11/30/1992,2898,1515,1312,71,0,575,40,23,17,0,0,39,23,16,7,0,0,11,23675,1260,0,5447,399,14,0,321,244,43,0,88,15139,27470,24824,4773,1671,656,316,4724805,4589381,4406728,848851,184379,122358,62021,1548,1276,272,36,21,680,20,7
AK,12/31/1992,2849,1502,1257,90,0,463,44,30,14,0,0,21,30,23,7,0,0,9,24464,1461,0,5801,451,14,0,361,272,51,0,83,15969,29098,26274,5403,1880,804,355,5073820,4931621,4724988,978964,210322,143445,66877,1604,1324,280,45,28,868,7,9
AK,1/31/1993,3053,1920,1034,99,0,830,45,33,12,0,0,39,34,28,6,0,0,16,23465,1477,0,5948,401,25,0,395,276,57,0,106,15859,27737,25270,5438,1725,712,374,4950448,4822316,4645170,1006691,207995,131814,76181,1818,1410,408,48,28,743,18,6
AK,2/28/1993,2728,1688,956,84,0,522,38,28,10,0,0,31,30,23,7,0,0,4,23513,1302,0,5361,408,34,0,349,325,39,0,86,15386,27756,25048,5093,1759,739,397,4933575,4800567,4602830,927699,216966,135497,81469,1702,1376,326,44,31,725,27,6
AK,3/31/1993,3775,2380,1289,106,0,790,79,54,25,0,0,61,36,25,11,0,0,8,28790,1442,0,6212,582,32,0,402,463,62,0,101,19321,33740,30482,5970,2238,935,556,5863061,5718471,5487212,1077922,288654,174207,114447,2859,2355,504,99,26,1060,25,4
