st,rptdate,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c15,c16,c17,c18,c19,c21,c22,c24,c25,c27,c29,c30,c31,c32,c33,c35,c36,c38,c39,c40,c41,c42,c43,c45,c46,c47,c48,c49,c50,c51
AK,3/31/2002,0,0,0,0,0,0,0,0,0,0,0,3362,514,844,0,0,43,2,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,4/30/2002,4406,0,1210,94,0,53,23,0,10,0,0,9929,739,2550,0,0,166,4,118,0,0,0,12,19668,18921,747,646,101,3630391,3473777,132888,26708,4121,118,23,1,0,50,0,0,0,0,0
AK,5/31/2002,1970,0,432,20,0,12,2,0,1,0,0,9931,0,3107,0,0,204,0,163,0,44,0,27,13603,13111,449,376,73,2464232,2369819,74121,18952,1390,24,5,209,0,96,1,0,0,0,0
AK,6/30/2002,2141,1,341,27,0,13,10,0,1,0,0,14363,0,3795,0,0,238,0,171,0,62,0,31,17787,17068,481,390,91,3241924,3126630,80276,24003,2780,42,12,639,10,170,1,0,0,0,0
AK,7/31/2002,1263,5,209,12,0,11,8,0,2,0,0,15809,0,3589,0,0,226,0,150,0,67,0,26,20864,19948,498,408,90,3861992,3726545,83540,24420,1370,22,10,1094,3,343,12,0,0,0,0
AK,8/31/2002,1581,24,244,21,0,8,2,0,0,0,0,12566,460,2569,0,0,162,7,122,0,61,3,23,13629,12907,342,262,80,2595222,2485223,56335,21387,1166,18,3,1562,5,326,1,0,0,0,0
AK,9/30/2002,1285,0,354,17,0,9,3,0,2,0,0,12425,727,2566,0,0,173,6,106,0,51,7,14,13463,12577,315,255,60,2482734,2354058,50322,15345,1536,32,2,1156,8,391,3,0,0,0,0
AK,10/31/2002,1833,17,320,27,0,12,4,0,2,0,0,10641,566,2421,0,0,132,9,88,0,31,3,18,11982,11263,274,227,47,2179583,2079085,43559,11612,1501,32,7,850,4,401,1,0,0,0,0
AK,11/30/2002,1112,14,271,11,0,8,1,0,1,0,0,8492,680,1821,0,0,129,10,68,0,26,5,11,8994,8538,208,174,34,1664662,1601209,32869,7900,1140,18,3,546,0,308,2,0,0,0,0
AK,12/31/2002,508,7,199,5,0,7,1,0,0,0,0,4791,489,2079,0,0,73,8,84,0,14,7,20,6279,6036,168,138,30,1147594,1108577,28046,7640,573,11,1,15,0,132,0,0,0,0,0
AK,1/31/2003,736,22,346,10,1,16,3,1,3,0,0,4873,459,2019,0,0,78,9,89,0,9,2,21,6385,6144,196,165,31,1152087,1112813,32647,8164,529,15,4,34,0,94,1,0,0,0,0
AK,2/28/2003,880,2,372,9,0,12,2,0,2,0,0,6829,442,2295,0,0,76,12,103,0,11,0,26,8587,8275,194,164,30,1572441,1522452,33621,7820,736,14,2,111,0,83,1,1,2,0,0
AK,3/31/2003,643,3,319,9,0,8,0,0,2,0,0,10094,0,2824,0,0,103,0,128,0,28,0,27,10149,9718,241,198,43,1881297,1815697,39642,12072,810,15,1,203,0,123,0,1,3,0,0
AK,4/30/2003,717,5,356,5,0,8,2,0,1,0,0,8148,426,3226,0,0,63,0,121,0,19,3,24,13012,12459,258,207,51,2427248,2341386,42355,13769,1075,15,5,316,1,148,3,0,0,0,0
AK,5/31/2003,636,4,241,7,0,10,3,0,2,0,0,8245,516,3370,0,0,67,3,140,0,17,10,25,10762,10294,233,194,39,2020120,1948109,41565,10305,934,15,1,232,0,178,1,0,0,0,0
AK,6/30/2003,2255,2,354,21,0,2,8,0,2,9629,483,0,0,3896,80,9,0,0,171,41,0,0,33,12893,12451,314,240,74,2455132,2384265,51649,19142,921,9,7,316,2,215,1,1,0,0,0
AK,7/31/2003,420,4,194,4,0,9,2,0,2,0,0,8471,478,3120,0,0,73,2,128,0,25,3,38,11035,10587,252,193,59,2111546,2038525,41345,15957,884,12,3,267,2,297,0,1,0,0,0
AK,8/31/2003,436,5,217,4,0,6,2,0,0,0,0,10356,458,2990,0,0,95,0,103,0,60,8,39,11006,10585,242,180,62,2062840,1996599,37933,16599,777,9,4,289,1,274,1,1,0,0,0
AK,9/30/2003,523,3,280,13,0,5,3,0,0,0,0,9200,442,3235,0,0,106,3,77,0,32,12,27,13520,12955,271,204,67,2506720,2416359,43399,19098,799,9,4,390,3,404,10,1,0,0,0
AK,10/31/2003,610,2,308,6,0,12,3,0,1,0,0,8525,505,3068,0,0,105,9,69,0,36,10,12,10962,10543,203,160,43,2018713,1950340,33713,13180,754,14,1,371,0,358,3,1,0,0,0
