DATE,UNEMPLOYAK
2004-01-01,25700.000000000000
2005-01-01,23725.000000000000
2006-01-01,24150.000000000000
2007-01-01,21575.000000000000
2008-01-01,23500.000000000000
2009-01-01,26675.000000000000
2010-01-01,29450.000000000000
2011-01-01,28300.000000000000
2012-01-01,27950.000000000000
2013-01-01,24525.000000000000
2014-01-01,26200.000000000000
2015-01-01,24950.000000000000
2016-01-01,23700.000000000000
2017-01-01,26500.000000000000
2018-01-01,25200.000000000000
2019-01-01,22000.000000000000
2020-01-01,23725.000000000000
2021-01-01,25875.000000000000
2022-01-01,18000.000000000000
2023-01-01,16150.000000000000
2024-01-01,.
