DATE,UNEMPLOYAL
2004-01-01,128450.000000000000
2005-01-01,105300.000000000000
2006-01-01,92000.000000000000
2007-01-01,86750.000000000000
2008-01-01,105750.000000000000
2009-01-01,198675.000000000000
2010-01-01,241175.000000000000
2011-01-01,219700.000000000000
2012-01-01,185075.000000000000
2013-01-01,161375.000000000000
2014-01-01,155250.000000000000
2015-01-01,134575.000000000000
2016-01-01,131175.000000000000
2017-01-01,111675.000000000000
2018-01-01,86650.000000000000
2019-01-01,75950.000000000000
2020-01-01,104850.000000000000
2021-01-01,103775.000000000000
2022-01-01,63675.000000000000
2023-01-01,53150.000000000000
2024-01-01,.
