DATE,UNEMPLOYAR
2004-01-01,78350.000000000000
2005-01-01,72025.000000000000
2006-01-01,71875.000000000000
2007-01-01,73450.000000000000
2008-01-01,71550.000000000000
2009-01-01,95525.000000000000
2010-01-01,113950.000000000000
2011-01-01,118100.000000000000
2012-01-01,106375.000000000000
2013-01-01,101850.000000000000
2014-01-01,88025.000000000000
2015-01-01,73975.000000000000
2016-01-01,57025.000000000000
2017-01-01,50225.000000000000
2018-01-01,50750.000000000000
2019-01-01,49075.000000000000
2020-01-01,70400.000000000000
2021-01-01,70375.000000000000
2022-01-01,50350.000000000000
2023-01-01,46050.000000000000
2024-01-01,.
