DATE,UNEMPLOYAZ
2004-01-01,144775.000000000000
2005-01-01,130125.000000000000
2006-01-01,129700.000000000000
2007-01-01,117475.000000000000
2008-01-01,149500.000000000000
2009-01-01,277525.000000000000
2010-01-01,337500.000000000000
2011-01-01,305650.000000000000
2012-01-01,264450.000000000000
2013-01-01,244525.000000000000
2014-01-01,224225.000000000000
2015-01-01,198825.000000000000
2016-01-01,177550.000000000000
2017-01-01,161700.000000000000
2018-01-01,154875.000000000000
2019-01-01,167775.000000000000
2020-01-01,232250.000000000000
2021-01-01,240150.000000000000
2022-01-01,147575.000000000000
2023-01-01,140000.000000000000
2024-01-01,.
