DATE,UNEMPLOYCT
2004-01-01,93275.000000000000
2005-01-01,90175.000000000000
2006-01-01,83375.000000000000
2007-01-01,81750.000000000000
2008-01-01,98400.000000000000
2009-01-01,135525.000000000000
2010-01-01,169550.000000000000
2011-01-01,172900.000000000000
2012-01-01,158550.000000000000
2013-01-01,150375.000000000000
2014-01-01,131150.000000000000
2015-01-01,114150.000000000000
2016-01-01,104725.000000000000
2017-01-01,93500.000000000000
2018-01-01,84225.000000000000
2019-01-01,74275.000000000000
2020-01-01,110950.000000000000
2021-01-01,140625.000000000000
2022-01-01,88450.000000000000
2023-01-01,72100.000000000000
2024-01-01,.
