DATE,UNEMPLOYDE
2004-01-01,17200.000000000000
2005-01-01,17850.000000000000
2006-01-01,17550.000000000000
2007-01-01,15375.000000000000
2008-01-01,18625.000000000000
2009-01-01,32650.000000000000
2010-01-01,37375.000000000000
2011-01-01,34900.000000000000
2012-01-01,31425.000000000000
2013-01-01,32700.000000000000
2014-01-01,27025.000000000000
2015-01-01,24100.000000000000
2016-01-01,21825.000000000000
2017-01-01,22500.000000000000
2018-01-01,20150.000000000000
2019-01-01,18100.000000000000
2020-01-01,31850.000000000000
2021-01-01,31650.000000000000
2022-01-01,22650.000000000000
2023-01-01,19525.000000000000
2024-01-01,.
