DATE,UNEMPLOYGA
2004-01-01,196025.000000000000
2005-01-01,237975.000000000000
2006-01-01,227625.000000000000
2007-01-01,210750.000000000000
2008-01-01,269025.000000000000
2009-01-01,420600.000000000000
2010-01-01,497350.000000000000
2011-01-01,494375.000000000000
2012-01-01,456550.000000000000
2013-01-01,410450.000000000000
2014-01-01,354375.000000000000
2015-01-01,300975.000000000000
2016-01-01,266100.000000000000
2017-01-01,249050.000000000000
2018-01-01,209525.000000000000
2019-01-01,186175.000000000000
2020-01-01,268525.000000000000
2021-01-01,259275.000000000000
2022-01-01,179025.000000000000
2023-01-01,175725.000000000000
2024-01-01,.
