DATE,UNEMPLOYHI
2004-01-01,23650.000000000000
2005-01-01,19625.000000000000
2006-01-01,18600.000000000000
2007-01-01,17700.000000000000
2008-01-01,23175.000000000000
2009-01-01,41875.000000000000
2010-01-01,44725.000000000000
2011-01-01,44700.000000000000
2012-01-01,43125.000000000000
2013-01-01,32750.000000000000
2014-01-01,30850.000000000000
2015-01-01,27100.000000000000
2016-01-01,22400.000000000000
2017-01-01,18425.000000000000
2018-01-01,16200.000000000000
2019-01-01,18925.000000000000
2020-01-01,49250.000000000000
2021-01-01,61150.000000000000
2022-01-01,26550.000000000000
2023-01-01,22225.000000000000
2024-01-01,.
