DATE,UNEMPLOYID
2004-01-01,37725.000000000000
2005-01-01,32300.000000000000
2006-01-01,28050.000000000000
2007-01-01,23375.000000000000
2008-01-01,31325.000000000000
2009-01-01,57550.000000000000
2010-01-01,67100.000000000000
2011-01-01,68750.000000000000
2012-01-01,59450.000000000000
2013-01-01,51775.000000000000
2014-01-01,41700.000000000000
2015-01-01,33875.000000000000
2016-01-01,32725.000000000000
2017-01-01,28300.000000000000
2018-01-01,26025.000000000000
2019-01-01,26475.000000000000
2020-01-01,37300.000000000000
2021-01-01,40050.000000000000
2022-01-01,30325.000000000000
2023-01-01,28700.000000000000
2024-01-01,.
