DATE,UNEMPLOYIN
2004-01-01,167775.000000000000
2005-01-01,178100.000000000000
2006-01-01,169075.000000000000
2007-01-01,153800.000000000000
2008-01-01,168425.000000000000
2009-01-01,277175.000000000000
2010-01-01,338600.000000000000
2011-01-01,291075.000000000000
2012-01-01,275300.000000000000
2013-01-01,261400.000000000000
2014-01-01,205650.000000000000
2015-01-01,174975.000000000000
2016-01-01,153450.000000000000
2017-01-01,127175.000000000000
2018-01-01,116125.000000000000
2019-01-01,121300.000000000000
2020-01-01,188850.000000000000
2021-01-01,174000.000000000000
2022-01-01,108175.000000000000
2023-01-01,117375.000000000000
2024-01-01,.
