DATE,UNEMPLOYKS
2004-01-01,84700.000000000000
2005-01-01,78250.000000000000
2006-01-01,68075.000000000000
2007-01-01,62050.000000000000
2008-01-01,63200.000000000000
2009-01-01,89850.000000000000
2010-01-01,109325.000000000000
2011-01-01,106675.000000000000
2012-01-01,89675.000000000000
2013-01-01,84000.000000000000
2014-01-01,72700.000000000000
2015-01-01,65350.000000000000
2016-01-01,61650.000000000000
2017-01-01,57750.000000000000
2018-01-01,51275.000000000000
2019-01-01,47825.000000000000
2020-01-01,69975.000000000000
2021-01-01,64600.000000000000
2022-01-01,42575.000000000000
2023-01-01,44075.000000000000
2024-01-01,.
