DATE,UNEMPLOYKY
2004-01-01,112525.000000000000
2005-01-01,111250.000000000000
2006-01-01,120625.000000000000
2007-01-01,112300.000000000000
2008-01-01,115125.000000000000
2009-01-01,187925.000000000000
2010-01-01,214375.000000000000
2011-01-01,203325.000000000000
2012-01-01,177000.000000000000
2013-01-01,166900.000000000000
2014-01-01,149000.000000000000
2015-01-01,107225.000000000000
2016-01-01,104075.000000000000
2017-01-01,106975.000000000000
2018-01-01,93125.000000000000
2019-01-01,88700.000000000000
2020-01-01,117700.000000000000
2021-01-01,108375.000000000000
2022-01-01,82850.000000000000
2023-01-01,83500.000000000000
2024-01-01,.
