DATE,UNEMPLOYMA
2004-01-01,187875.000000000000
2005-01-01,166050.000000000000
2006-01-01,167025.000000000000
2007-01-01,164150.000000000000
2008-01-01,164675.000000000000
2009-01-01,249225.000000000000
2010-01-01,304100.000000000000
2011-01-01,270675.000000000000
2012-01-01,233300.000000000000
2013-01-01,240000.000000000000
2014-01-01,221825.000000000000
2015-01-01,187100.000000000000
2016-01-01,152400.000000000000
2017-01-01,138750.000000000000
2018-01-01,134700.000000000000
2019-01-01,118575.000000000000
2020-01-01,246675.000000000000
2021-01-01,271600.000000000000
2022-01-01,153225.000000000000
2023-01-01,125600.000000000000
2024-01-01,.
