DATE,UNEMPLOYMD
2004-01-01,124675.000000000000
2005-01-01,123725.000000000000
2006-01-01,115900.000000000000
2007-01-01,112075.000000000000
2008-01-01,111200.000000000000
2009-01-01,186250.000000000000
2010-01-01,232175.000000000000
2011-01-01,222500.000000000000
2012-01-01,216250.000000000000
2013-01-01,213300.000000000000
2014-01-01,187025.000000000000
2015-01-01,171075.000000000000
2016-01-01,145400.000000000000
2017-01-01,136175.000000000000
2018-01-01,139925.000000000000
2019-01-01,120125.000000000000
2020-01-01,166475.000000000000
2021-01-01,200025.000000000000
2022-01-01,126350.000000000000
2023-01-01,86900.000000000000
2024-01-01,.
