DATE,UNEMPLOYME
2004-01-01,33700.000000000000
2005-01-01,34600.000000000000
2006-01-01,33325.000000000000
2007-01-01,32625.000000000000
2008-01-01,35475.000000000000
2009-01-01,51025.000000000000
2010-01-01,57200.000000000000
2011-01-01,56975.000000000000
2012-01-01,54600.000000000000
2013-01-01,49825.000000000000
2014-01-01,42475.000000000000
2015-01-01,34000.000000000000
2016-01-01,26400.000000000000
2017-01-01,25175.000000000000
2018-01-01,23050.000000000000
2019-01-01,22775.000000000000
2020-01-01,30850.000000000000
2021-01-01,34325.000000000000
2022-01-01,25675.000000000000
2023-01-01,21475.000000000000
2024-01-01,.
