DATE,UNEMPLOYMN
2004-01-01,143950.000000000000
2005-01-01,121050.000000000000
2006-01-01,117075.000000000000
2007-01-01,127350.000000000000
2008-01-01,145750.000000000000
2009-01-01,208575.000000000000
2010-01-01,221625.000000000000
2011-01-01,202075.000000000000
2012-01-01,174775.000000000000
2013-01-01,153450.000000000000
2014-01-01,130925.000000000000
2015-01-01,114650.000000000000
2016-01-01,112150.000000000000
2017-01-01,112775.000000000000
2018-01-01,92000.000000000000
2019-01-01,97650.000000000000
2020-01-01,148125.000000000000
2021-01-01,145625.000000000000
2022-01-01,91050.000000000000
2023-01-01,87975.000000000000
2024-01-01,.
