DATE,UNEMPLOYMO
2004-01-01,168025.000000000000
2005-01-01,171000.000000000000
2006-01-01,149425.000000000000
2007-01-01,150850.000000000000
2008-01-01,170700.000000000000
2009-01-01,249400.000000000000
2010-01-01,289325.000000000000
2011-01-01,272775.000000000000
2012-01-01,225025.000000000000
2013-01-01,203350.000000000000
2014-01-01,199275.000000000000
2015-01-01,168625.000000000000
2016-01-01,140725.000000000000
2017-01-01,125000.000000000000
2018-01-01,104875.000000000000
2019-01-01,96625.000000000000
2020-01-01,152500.000000000000
2021-01-01,157625.000000000000
2022-01-01,94225.000000000000
2023-01-01,86775.000000000000
2024-01-01,.
