DATE,UNEMPLOYMS
2004-01-01,78575.000000000000
2005-01-01,91850.000000000000
2006-01-01,84425.000000000000
2007-01-01,83775.000000000000
2008-01-01,81375.000000000000
2009-01-01,105425.000000000000
2010-01-01,136625.000000000000
2011-01-01,137575.000000000000
2012-01-01,126350.000000000000
2013-01-01,116875.000000000000
2014-01-01,98675.000000000000
2015-01-01,85500.000000000000
2016-01-01,78175.000000000000
2017-01-01,68950.000000000000
2018-01-01,62625.000000000000
2019-01-01,66800.000000000000
2020-01-01,90850.000000000000
2021-01-01,84475.000000000000
2022-01-01,54775.000000000000
2023-01-01,41275.000000000000
2024-01-01,.
