DATE,UNEMPLOYMT
2004-01-01,23825.000000000000
2005-01-01,23075.000000000000
2006-01-01,19425.000000000000
2007-01-01,16625.000000000000
2008-01-01,23400.000000000000
2009-01-01,33575.000000000000
2010-01-01,37200.000000000000
2011-01-01,36775.000000000000
2012-01-01,32150.000000000000
2013-01-01,28250.000000000000
2014-01-01,26425.000000000000
2015-01-01,21875.000000000000
2016-01-01,22225.000000000000
2017-01-01,20925.000000000000
2018-01-01,20300.000000000000
2019-01-01,18875.000000000000
2020-01-01,26725.000000000000
2021-01-01,23500.000000000000
2022-01-01,16550.000000000000
2023-01-01,15375.000000000000
2024-01-01,.
