DATE,UNEMPLOYNE
2004-01-01,37850.000000000000
2005-01-01,39975.000000000000
2006-01-01,33150.000000000000
2007-01-01,30225.000000000000
2008-01-01,30650.000000000000
2009-01-01,41400.000000000000
2010-01-01,47975.000000000000
2011-01-01,43725.000000000000
2012-01-01,43050.000000000000
2013-01-01,42725.000000000000
2014-01-01,36700.000000000000
2015-01-01,29250.000000000000
2016-01-01,33625.000000000000
2017-01-01,30600.000000000000
2018-01-01,29350.000000000000
2019-01-01,33125.000000000000
2020-01-01,41625.000000000000
2021-01-01,36700.000000000000
2022-01-01,25300.000000000000
2023-01-01,22100.000000000000
2024-01-01,.
