DATE,UNEMPLOYNJ
2004-01-01,231825.000000000000
2005-01-01,196150.000000000000
2006-01-01,216750.000000000000
2007-01-01,197175.000000000000
2008-01-01,217500.000000000000
2009-01-01,344550.000000000000
2010-01-01,437450.000000000000
2011-01-01,426050.000000000000
2012-01-01,423825.000000000000
2013-01-01,404825.000000000000
2014-01-01,322350.000000000000
2015-01-01,283075.000000000000
2016-01-01,231450.000000000000
2017-01-01,210125.000000000000
2018-01-01,201900.000000000000
2019-01-01,166300.000000000000
2020-01-01,319125.000000000000
2021-01-01,364175.000000000000
2022-01-01,207375.000000000000
2023-01-01,204275.000000000000
2024-01-01,.
