DATE,UNEMPLOYNM
2004-01-01,53625.000000000000
2005-01-01,51600.000000000000
2006-01-01,43225.000000000000
2007-01-01,37025.000000000000
2008-01-01,38750.000000000000
2009-01-01,60800.000000000000
2010-01-01,77900.000000000000
2011-01-01,71075.000000000000
2012-01-01,68625.000000000000
2013-01-01,67475.000000000000
2014-01-01,66150.000000000000
2015-01-01,61625.000000000000
2016-01-01,61050.000000000000
2017-01-01,62050.000000000000
2018-01-01,46850.000000000000
2019-01-01,46525.000000000000
2020-01-01,65375.000000000000
2021-01-01,73450.000000000000
2022-01-01,45275.000000000000
2023-01-01,35975.000000000000
2024-01-01,.
