DATE,UNEMPLOYNY
2004-01-01,584650.000000000000
2005-01-01,484325.000000000000
2006-01-01,447050.000000000000
2007-01-01,422925.000000000000
2008-01-01,480850.000000000000
2009-01-01,709200.000000000000
2010-01-01,831350.000000000000
2011-01-01,789550.000000000000
2012-01-01,822400.000000000000
2013-01-01,768275.000000000000
2014-01-01,660775.000000000000
2015-01-01,542450.000000000000
2016-01-01,471975.000000000000
2017-01-01,454450.000000000000
2018-01-01,430650.000000000000
2019-01-01,379775.000000000000
2020-01-01,680400.000000000000
2021-01-01,812600.000000000000
2022-01-01,480475.000000000000
2023-01-01,404175.000000000000
2024-01-01,.
