DATE,UNEMPLOYOK
2004-01-01,88700.000000000000
2005-01-01,80675.000000000000
2006-01-01,71825.000000000000
2007-01-01,74025.000000000000
2008-01-01,65275.000000000000
2009-01-01,93500.000000000000
2010-01-01,124150.000000000000
2011-01-01,111500.000000000000
2012-01-01,100625.000000000000
2013-01-01,98175.000000000000
2014-01-01,90600.000000000000
2015-01-01,78100.000000000000
2016-01-01,88650.000000000000
2017-01-01,85650.000000000000
2018-01-01,70525.000000000000
2019-01-01,60775.000000000000
2020-01-01,90850.000000000000
2021-01-01,96200.000000000000
2022-01-01,71475.000000000000
2023-01-01,64125.000000000000
2024-01-01,.
