DATE,UNEMPLOYPA
2004-01-01,344400.000000000000
2005-01-01,325250.000000000000
2006-01-01,296500.000000000000
2007-01-01,276225.000000000000
2008-01-01,310525.000000000000
2009-01-01,443125.000000000000
2010-01-01,539050.000000000000
2011-01-01,503950.000000000000
2012-01-01,500100.000000000000
2013-01-01,507600.000000000000
2014-01-01,409850.000000000000
2015-01-01,346300.000000000000
2016-01-01,346150.000000000000
2017-01-01,328950.000000000000
2018-01-01,286750.000000000000
2019-01-01,265725.000000000000
2020-01-01,471975.000000000000
2021-01-01,485650.000000000000
2022-01-01,311525.000000000000
2023-01-01,222600.000000000000
2024-01-01,.
