DATE,UNEMPLOYSC
2004-01-01,140825.000000000000
2005-01-01,138250.000000000000
2006-01-01,140075.000000000000
2007-01-01,126775.000000000000
2008-01-01,127150.000000000000
2009-01-01,215075.000000000000
2010-01-01,244225.000000000000
2011-01-01,229650.000000000000
2012-01-01,211025.000000000000
2013-01-01,181875.000000000000
2014-01-01,142075.000000000000
2015-01-01,144650.000000000000
2016-01-01,122375.000000000000
2017-01-01,100100.000000000000
2018-01-01,90925.000000000000
2019-01-01,74425.000000000000
2020-01-01,115100.000000000000
2021-01-01,119275.000000000000
2022-01-01,86150.000000000000
2023-01-01,77275.000000000000
2024-01-01,.
