DATE,UNEMPLOYTN
2004-01-01,154425.000000000000
2005-01-01,162200.000000000000
2006-01-01,157125.000000000000
2007-01-01,142275.000000000000
2008-01-01,175875.000000000000
2009-01-01,283350.000000000000
2010-01-01,307125.000000000000
2011-01-01,290625.000000000000
2012-01-01,251475.000000000000
2013-01-01,246775.000000000000
2014-01-01,212100.000000000000
2015-01-01,187650.000000000000
2016-01-01,151275.000000000000
2017-01-01,137450.000000000000
2018-01-01,113450.000000000000
2019-01-01,113600.000000000000
2020-01-01,197700.000000000000
2021-01-01,186050.000000000000
2022-01-01,119850.000000000000
2023-01-01,114150.000000000000
2024-01-01,.
