DATE,UNEMPLOYVA
2004-01-01,149950.000000000000
2005-01-01,139000.000000000000
2006-01-01,129325.000000000000
2007-01-01,121575.000000000000
2008-01-01,149725.000000000000
2009-01-01,233725.000000000000
2010-01-01,306225.000000000000
2011-01-01,274000.000000000000
2012-01-01,262975.000000000000
2013-01-01,238575.000000000000
2014-01-01,231275.000000000000
2015-01-01,202725.000000000000
2016-01-01,170250.000000000000
2017-01-01,167750.000000000000
2018-01-01,139600.000000000000
2019-01-01,126300.000000000000
2020-01-01,209000.000000000000
2021-01-01,224775.000000000000
2022-01-01,129575.000000000000
2023-01-01,124800.000000000000
2024-01-01,.
