DATE,UNEMPLOYWI
2004-01-01,162400.000000000000
2005-01-01,142375.000000000000
2006-01-01,145525.000000000000
2007-01-01,151500.000000000000
2008-01-01,145400.000000000000
2009-01-01,218825.000000000000
2010-01-01,275550.000000000000
2011-01-01,251000.000000000000
2012-01-01,223850.000000000000
2013-01-01,212825.000000000000
2014-01-01,186500.000000000000
2015-01-01,149375.000000000000
2016-01-01,134700.000000000000
2017-01-01,110725.000000000000
2018-01-01,94275.000000000000
2019-01-01,97925.000000000000
2020-01-01,161175.000000000000
2021-01-01,152600.000000000000
2022-01-01,105125.000000000000
2023-01-01,90825.000000000000
2024-01-01,.
