DATE,UNEMPLOYWV
2004-01-01,44775.000000000000
2005-01-01,41700.000000000000
2006-01-01,40900.000000000000
2007-01-01,39425.000000000000
2008-01-01,37950.000000000000
2009-01-01,53525.000000000000
2010-01-01,69075.000000000000
2011-01-01,67800.000000000000
2012-01-01,60400.000000000000
2013-01-01,56725.000000000000
2014-01-01,53000.000000000000
2015-01-01,53750.000000000000
2016-01-01,50025.000000000000
2017-01-01,42275.000000000000
2018-01-01,41750.000000000000
2019-01-01,38925.000000000000
2020-01-01,54175.000000000000
2021-01-01,48975.000000000000
2022-01-01,31500.000000000000
2023-01-01,27725.000000000000
2024-01-01,.
